Cattle,Calves,Pigs,Lambs,Expenses
3.4370,5.791,3.2680,10.649,27.6980
12.801,4.558,5.7510,14.375,57.6340
6.1360,6.223,15.175,2.8110,47.1720
11.685,3.212,0.6390,0.9640,49.2950
5.7330,3.220,0.5340,2.0520,24.1150
3.0210,4.348,0.8390,2.3560,33.6120
1.6890,0.634,0.3180,2.2090,9.51200
2.3390,1.895,0.6100,0.6050,14.7550
1.0250,0.834,0.7340,2.8250,10.5700
2.9360,1.419,0.3310,0.2310,15.3940
5.0490,4.195,1.5890,1.9570,27.8430
1.6930,3.602,0.8370,1.5820,17.7170
1.1870,2.679,0.4590,18.837,20.2530
9.7300,3.951,3.7800,0.5240,37.4650
14.325,4.300,10.781,36.863,101.334
7.7370,9.043,1.3940,1.5240,47.4270
7.5380,4.538,2.5650,5.1090,35.9440
10.211,4.994,3.0810,3.6810,45.9450
8.6970,3.005,1.3780,3.3380,46.8900